爱情	àiqíng	love
安排	ānpái	arrange
安全	ānquán	security
暗	àn	dark
按时	ànshí	on time
按照	ànzhào	according to
包括	bāokuò	include
保护	bǎohù	protect
保证	bǎozhèng	ensure
抱	bào	hold
抱歉	bàoqiàn	sorry
报道	bàodào	report
报名	bàomíng	sign up
倍	bèi	times
本来	běnlái	originally
笨	bèn	stupid
笔记本	bǐjìběn	notebook
毕业	bìyè	graduation
遍	biàn	(one/two) time(s)
标准	biāozhǔn	standard
表达	biǎodá	Expression
表格	biǎogé	form
表扬	biǎoyáng	praise
饼干	bǐnggān	cookies
并且	bìngqiě	also
博士	bóshì	doctor
不但	bùdàn	not only
不过	bùguò	however
不得不	bùdé bù	have to
不管	bùguǎn	no matter
不仅	bùjǐn	not only
部分	bùfèn	a part
擦	cā	wipe
猜	cāi	guess
材料	cáiliào	material
参观	cānguān	visit
差不多	chàbùduō	almost
尝	cháng	taste
长城	chángchéng	Great Wall
长江	chángjiāng	Yangtze River
场	chǎng	site
超过	chāoguò	exceed
吵	chǎo	noisy
成功	chénggōng	success
成熟	chéngshú	mature
成为	chéngwéi	become
诚实	chéngshí	honest
乘坐	chéngzuò	ride
吃惊	chījīng	be amazed
重新	chóngxīn	again
抽烟	chōuyān	smoking
出差	chūchāi	business trip
出发	chūfā	set out
出生	chūshēng	birth
传真	chuánzhēn	fax
窗户	chuānghù	window
词典	cídiǎn	dictionary
从来	cónglái	always
粗心	cūxīn	careless
答案	dá’àn	answer
打扮	dǎbàn	dress up
打扰	dǎrǎo	disturb
打印	dǎyìn	print
打折	dǎzhé	discount
打针	dǎzhēn	inject
大概	dàgài	probably
大使馆	dàshǐ guǎn	embassy
大约	dàyuē	about
戴	dài	wear
代表	dàibiǎo	representative
代替	dàitì	replace
大夫	dàfū	doctor
当	dāng	when
当地	dāng dì	local
当时	dāngshí	at that time
刀	dāo	knife
导游	dǎoyóu	guide
到	dào	reach
到处	dàochù	everywhere
到底	dàodǐ	to the end
道歉	dàoqiàn	apologize
得意	déyì	proud
等 （动）	děng (dòng)	wait (verb)
等 （助）	děng (zhù)	Etc.
底	dǐ	bottom
地球	dìqiú	earth
地址	dìzhǐ	address
掉	diào	fall
调查	diàochá	investigation
丢	diū	lose
动作	dòngzuò	action
堵车	dǔchē	traffic jam
肚子	dùzi	belly
断	duàn	break
对话	duìhuà	dialogue
对面	duìmiàn	Opposite side
顿	dùn	Meal
朵	duǒ	classifier of flower
而	ér	and
儿童	értóng	children
发	fā	send out
发生	fāshēng	happen
发展	fāzhǎn	development
法律	fǎlǜ	law
翻译	fānyì	translate
烦恼	fánnǎo	annoyance
反对	fǎnduì	opposition
反映	fǎnyìng	reflect
范围	fànwéi	Range
方法	fāngfǎ	method
方面	fāngmiàn	aspect
方向	fāngxiàng	direction
访问	fǎngwèn	visit
放弃	fàngqì	give up
放暑假	fàng shǔjià	summer vacation
分之	fēn zhī	percent
份	fèn	share (measure word)
丰富	fēngfù	rich
风景	fēngjǐng	scenery
否则	fǒuzé	otherwise
符合	fúhé	accord with
富	fù	rich
父亲	fùqīn	father
复印	fùyìn	to copy
复杂	fùzá	complex
负责	fùzé	be responsible for
改变	gǎibiàn	change
干杯	gānbēi	Cheers!
干燥	gānzào	dry
感动	gǎndòng	be moved
感觉	gǎnjué	feel
感情	gǎnqíng	feeling
感谢	gǎnxiè	Many thanks
干	gān	dry
刚刚	gānggāng	just
高级	gāojí	senior
各	gè	various
个子	gè zi	height
公里	gōnglǐ	kilometre
工具	gōngjù	tool
工资	gōngzī	wages
共同	gòngtóng	common
够	gòu	enough
购物	gòuwù	Shopping
孤单	gūdān	alone
估计	gūjì	estimate
鼓励	gǔlì	encourage
鼓掌	gǔzhǎng	applause
顾客	gùkè	customer
故意	gùyì	deliberately
挂	guà	hang
关键	guānjiàn	key
观众	guānzhòng	Audience
管理	guǎnlǐ	Administration
光	guāng	light
广播	guǎngbò	Radio broadcast
广告	guǎnggào	Advertisement
逛	guàng	Stroll
规定	guīdìng	Regulations
国际	guójì	international
果然	guǒ rán	Sure enough
过 （动）	guò (dòng)	pass
过 （助）	guò (zhù)	Over
过程	guòchéng	process
海洋	hǎiyáng	ocean
害羞	hàixiū	Shy
寒假	hánjià	The winter vacation
汗	hàn	sweat
航班	hángbān	flight
好处	hǎochù	benefit
好像	hǎoxiàng	Be like, seem
号码	hàomǎ	number
合格	hégé	qualified
合适	héshì	appropriate
盒子	hézi	Box
猴子	hóuzi	Monkey
厚	hòu	thick
后悔	hòuhuǐ	regret
后来	hòulái	later
忽然	hūrán	suddenly
护士	hùshì	Nurse
互相	hùxiāng	each other
怀疑	huáiyí	doubt
