唉	āi	alas
爱护	àihù	Care
爱惜	àixī	Cherish
爱心	àixīn	love
安慰	ānwèi	comfort
安装	ānzhuāng	install
岸	àn	bank
把握	bǎwò	grasp
摆	bǎi	pendulum
班主任	bānzhǔrèn	Headmaster
办理	bànlǐ	handle
棒	bàng	stick
傍晚	bàngwǎn	Evening
包裹	bāoguǒ	package
包含	bāohán	Contain
包子	bāozi	Steamed stuffed bun
薄	báo	thin
宝贝	bǎobèi	baby
宝贵	bǎoguì	valuable
保持	bǎochí	keep
保存	bǎocún	Preservation
保留	bǎoliú	Retain
保险	bǎoxiǎn	Insurance
报告	bàogào	Presentation
悲观	bēiguān	Pessimism
背	bèi	Back
背景	bèijǐng	background
被子	bèizi	quilt
本科	běnkē	Undergraduate
本领	běnlǐng	ability
本质	běnzhì	essence
比例	bǐlì	Proportion
比如	bǐrú	such as
彼此	bǐcǐ	each other
毕竟	bìjìng	after all
避免	bìmiǎn	avoid
必然	bìrán	Inevitable
必需	bìxū	essential
必要	bìyào	necessary
编辑	biānjí	edit
鞭炮	biānpào	firecracker
便	biàn	then, in that case
辩论	biànlùn	Debate
标点	biāodiǎn	punctuation
标志	biāozhì	sign
表面	biǎomiàn	surface
表明	biǎomíng	Indicate
表情	biǎoqíng	Expression
表现	biǎoxiàn	performance
病毒	bìngdú	virus
玻璃	bōli	Glass
博物馆	bówùguǎn	Museum
脖子	bózi	neck
不必	búbì	need not
不断	búduàn	Constantly
不见得	bújiàndé	Not necessarily
不耐烦	búnàifán	Impatient
不要紧	búyàojǐn	Never mind
补充	bǔchōng	supplement
布	bù	cloth, textile
不安	bù’ān	Uneasy, unstable
不得了	bùdéliǎo	Very
不好意思	bùhǎoyìsi	Sorry
不免	bùmiǎn	unavoidable
不然	bùrán	otherwise
不如	bùrú	not as good as
不足	bùzú	insufficient
部门	bùmén	department
步骤	bùzhòu	step
财产	cáichǎn	property
踩	cǎi	step on
采访	cǎifǎng	interview
采取	cǎiqǔ	take, adopt
彩虹	cǎihóng	Rainbow
参考	cānkǎo	Reference resources
参与	cānyù	participate in
餐厅	cāntīng	Restaurant
残疾	cánjí	disability
惭愧	cánkuì	Be ashamed
操场	cāochǎng	Playground
操心	cāoxīn	Worry
册	cè	volume, book
厕所	cèsuǒ	Toilet
测验	cèyàn	test
曾经	céngjīng	once
插	chā	insert
差别	chābié	difference
叉子	chāzi	Fork
拆	chāi	Remove
产品	chǎnpǐn	product
产生	chǎnshēng	produce
长途	chángtú	Long-distance
常识	chángshí	common sense
抄	chāo	copy
朝	cháo	towards
朝代	cháodài	Dynasty
炒	chǎo	fry
吵架	chǎojià	quarrel
车库	chēkù	Garage
车厢	chēxiāng	carriage
彻底	chèdǐ	thorough
沉默	chénmò	silent
趁	chèn	while
称	chēng	call
称呼	chēnghu	to address
称赞	chēngzàn	Praise
乘	chéng	ride, take
承担	chéngdān	bear
承认	chéngrèn	Admit
承受	chéngshòu	bear
程度	chéngdù	degree
程序	chéngxù	program
成分	chéngfèn	component
成果	chéngguǒ	Achievements
成就	chéngjiù	achievement
成立	chénglì	establish
成语	chéngyǔ	idiom
成长	chéngzhǎng	Grow up
诚恳	chéngkěn	sincere
吃亏	chīkuī	Suffer
持续	chíxù	Continued
池子	chízi	Pond
尺子	chǐzi	Ruler
翅膀	chìbǎng	Wing
冲	chōng	punching
充电器	chōngdiànqì	Charger
充分	chōngfèn	To the full
充满	chōngmǎn	full of
重复	chóngfù	repeat
宠物	chǒngwù	Pet
抽屉	chōuti	drawer
抽象	chōuxiàng	abstract
丑	chǒu	ugly
臭	chòu	smelly
出版	chūbǎn	publish
出口	chūkǒu	Exit
出色	chūsè	excellent; outstanding
出席	chūxí	Attend
初级	chūjí	primary
除	chú	except
除非	chúfēi	Unless
除夕	chúxī	the New Year’s Eve
处理	chǔlǐ	Handle
传播	chuánbō	spread
传递	chuándì	pass; transfer
传染	chuánrǎn	contagion
传说	chuánshuō	Legend
传统	chuántǒng	tradition
窗帘	chuānglián	Window curtains
闯	chuǎng	rush; dash
创造	chuàngzào	create
吹	chuī	blow
磁带	cídài	Magnetic tape
辞职	cízhí	Resignation
此外	cǐwài	in addition
次要	cìyào	secondary
刺激	cìjī	stimulate
匆忙	cōngmáng	hastily
从此	cóngcǐ	from then on
从而	cóng’ér	thus
从前	cóngqián	before
从事	cóngshì	Be engaged in
醋	cù	vinegar
促进	cùjìn	Promote
促使	cùshǐ	Urge
催	cuī	Reminder, urge
存	cún	Deposit
存在	cúnzài	existence
错误	cuòwù	error
措施	cuòshī	Measures
答应	dāying	promise
达到	dádào	Achieve
打工	dǎgōng	Work
打交道	dǎjiāodao	Dealing with
打喷嚏	dǎpēntì	Sneeze
打听	dǎting	Inquire
打招呼	dǎzhāohu	Say hello
大方	dàfang	generous
大象	dàxiàng	Elephant
大型	dàxíng	large
呆	dāi	stay
贷款	dàikuǎn	extend credit to; provide a loan
待遇	dàiyù	treatment
单纯	dānchún	Simple
单调	dāndiào	monotonous
单独	dāndú	Alone
单位	dānwèi	Company
单元	dānyuán	unit
担任	dānrèn	To serve as
耽误	dānwu	delay
胆小鬼	dǎnxiǎoguǐ	Coward
淡	dàn	light
当代	dāngdài	Contemporary
挡	dǎng	block
岛	dǎo	island
倒霉	dǎoméi	fall on evil days
导演	dǎoyǎn	director
导致	dǎozhì	cause
倒	dào	inverted
到达	dàodá	Arrive
道德	dàodé	Morality
道理	dàolǐ	truth
登机牌	dēngjīpái	Boarding pass
登记	dēngjì	register
等待	děngdài	wait for
等候	děnghòu	Wait
等于	děngyú	Be equal to
滴	dī	drop
的确	díquè	indeed; be certain to
敌人	dírén	Enemy
